State,LGA,Ward,PU-Code,PU-Name,Latitude,Longitude,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Outlier Score
ANAMBRA,ONITSHA -SOUTH,FEGGE I,04-18-04-016,"OPEN SPACE BESIDE TRANSFORMER II,  IN FRONT OF NO. 18, OZUBULU STREET .",6.1338572,6.7814028,37,51,True,-1,False,False,False,False,UNKNOWN,0,36,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/122297/122297-1677648279.pdf,71.77710843373494
ANAMBRA,ANAOCHA,ADAZI NNUKWU  II,04-05-06-001,UNION PRY. SCHOOL I,6.0309183,6.9704296,154,451,True,-1,False,False,False,False,UNKNOWN,0,144,4,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3176/ward/18326/pu/9160/9160-1677667400.pdf,71.75
ANAMBRA,ORUMBA NORTH,OKO  II,04-19-15-016,FED. POLY  OKO  II,6.0512645,7.1079005,168,1306,True,-1,False,False,False,False,UNKNOWN,0,164,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/19/ward/15/pu/016/016-1677379784.pdf,71.75
ANAMBRA,ANAOCHA,AGULU  I,04-05-07-007,UKUNU VILLAGE HALL I,6.1037984,7.0579108,217,557,True,-1,False,False,False,False,UNKNOWN,1,204,1,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/07/pu/007/007-1677423836.pdf,71.66666666666669
ANAMBRA,DUNUKOFIA,UKPO  III,04-08-08-002,OBUNAGU AKPU SQUARE II,6.2086195,7.0581183,84,265,True,-1,False,True,False,False,UNKNOWN,1,75,3,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/08/pu/002/002-1677411028.pdf,71.66666666666667
ANAMBRA,AGUATA,UMUCHU  II,04-01-19-009,B.H.S. UMUCHU,5.9347565,7.1335805,47,210,True,-1,False,False,False,False,UNKNOWN,0,43,3,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/19/pu/009/009-1677386772.pdf,71.66666666666667
ANAMBRA,OGBARU,OKPOKO V,04-16-13-014,MKPIKPA LAYOUT II,6.2208997,6.9369559,181,733,True,-1,False,False,False,False,UNKNOWN,1,178,0,0,https://docs.inecelectionresults.net/elections_prod/1292/11804-1677874986.pdf,71.58083832335329
ANAMBRA,NNEWI NORTH,UMUDIM  I,04-14-06-019,OBI AKABO HALL III,6.0136533,6.9101806,176,636,True,-1,False,True,False,False,UNKNOWN,0,170,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3185/ward/18467/pu/11222/11222-1677772173.pdf,71.57499999999999
ANAMBRA,OGBARU,AKILI OGIDI/OBEAGWE,04-16-01-012,"NTAJA CAMP, AKILI OGIDI II",5.727106,6.641097,46,195,True,-1,False,False,False,False,UNKNOWN,0,10,18,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18492/pu/11606/11606-1677681074.pdf,71.5
ANAMBRA,ANAOCHA,AGULU  II,04-05-08-013,GIRLS HIGH SCHOOL I,6.066874,7.0088757,159,585,True,-1,False,False,False,False,UNKNOWN,1,153,1,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/08/pu/013/013-1677390811.pdf,71.5
ANAMBRA,NJIKOKA,NAWFIA  II,04-13-14-006,EBE OGIDI HALL II,6.178444,6.9880335,54,178,True,-1,False,False,False,False,UNKNOWN,0,49,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3184/ward/18457/pu/11044/11044-1677675950.pdf,71.4895104895105
ANAMBRA,ANAOCHA,AGULU  II,04-05-08-003,NKITAKU HALL I,6.1080094,7.0377463,267,607,True,-1,False,False,False,False,UNKNOWN,1,261,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/08/pu/003/003-1677369901.pdf,71.39999999999998
